ticker,company,sector,signal,buy_score,quality_score,composite_score,overheat_score,ev_to_sales,ev_to_fcf,net_debt_to_ebitda,current_ratio,revenue_growth,eps_growth,roic,gross_margin,fcf_margin,change_6m,change_1y
PLTR,Palantir Technologies Inc.,Technology,AVOID,9.5,11,20.5,6,78.36753275539466,166.8876870746438,-0.7019942228641262,7.109823993412619,0.5618339093221548,1.0,0.17915135419928033,0.8236651721415028,0.46958247267423175,-10.45908,92.79076
LRCX,Lam Research Corporation,Technology,AVOID,16.5,10,26.5,5,12.641129363286902,39.01583938029405,-0.22618995246349174,2.2561850641695127,0.23684089764599187,0.4329896907216494,0.38614021635177453,0.49801415644303365,0.32399993346475664,79.11252,178.35504
KLAC,KLA Corporation,Technology,AVOID,15.0,11,26.0,5,14.83265258989446,43.16407116110684,0.648072603032967,2.77043856177771,0.23887647752854163,0.4958353748162666,0.36807118420612217,0.618897931141411,0.34363423539296456,46.21792,106.83346
AVGO,Broadcom Inc.,Technology,AVOID,12.5,10,22.5,4,24.08846766613456,56.892143100515376,1.333102083815103,1.9017735334242838,0.23874432853763525,1.0,0.17642511797786753,0.6709235230368179,0.42340587563340265,-6.64129,75.56961
INTC,Intel Corporation,Technology,AVOID,9.5,-1,8.5,4,4.887967570431196,-52.20120226308345,2.2516371743068135,2.017038796516231,-0.004670345191239336,0.986552511415525,-0.00020549188473473255,0.34766238434904356,-0.0936370688513424,87.91528,90.92827
CAT,Caterpillar Inc.,Industrials,AVOID,6.5,5,11.5,4,5.34493218896566,35.16241208098111,2.2445820433436534,1.4356638765796816,0.04289527689055533,-0.14749661705006778,0.11420289893952364,0.3234106141531906,0.15200698338487034,62.37718,110.22172
LLY,Eli Lilly and Company,Healthcare,AVOID,9.0,10,19.0,4,14.68625827720585,106.69144318435131,1.265011723014694,1.5791132054047916,0.44704913337788366,0.9557823129251701,0.3019606547698144,0.8379232574909097,0.13765169763267313,29.37026,21.90482
TSLA,"Tesla, Inc.",Consumer Cyclical,AVOID,-3.0,1,-2.0,4,15.54526830965864,236.99536302250803,-0.6916865011900714,2.1644068865485275,-0.029306991503736307,-0.47089947089947093,0.02952557971349814,0.18026511436616155,0.06559313275754795,-0.23488407,64.12249
AMAT,"Applied Materials, Inc.",Technology,AVOID,5.5,9,14.5,4,9.485817136882398,43.20840243784307,-0.0028322880841594174,2.714949051979879,0.04386223138062997,0.003456221198156813,0.22560277175312163,0.487240377117743,0.21953640036861133,100.99523,124.92164
GOOGL,Alphabet Inc.,Communication Services,WATCH,14.0,10,24.0,3,9.21651744790074,50.68342404156088,0.22870756732227251,2.005333592875566,0.1512636492980361,0.3419434194341942,0.21813386891449113,0.596591247542839,0.1818448067033338,26.05897,86.5016
